@date: 2014-06-26
@url: http://www.quanthistling.info/data/source/wipiodeicat1996/dictionary-19-150.html
@source_title: Diccionario Aguaruna ~ Castellano
@source_author: Wipio Deicat, Gerardo
@source_year: 1996
QLCID	HEAD	HEAD_DOCULECT	TRANSLATION	TRANSLATION_DOCULECT	POS
wipiodeicat1996/20/1	achimaín	Aguaruna	tocable	Castellano	adj.
wipiodeicat1996/20/1	achimaín	Aguaruna	que se puede agarrar	Castellano	adj.
wipiodeicat1996/20/2	achimaínchau	Aguaruna	intocable	Castellano	adj.
wipiodeicat1996/20/2	achimaínchau	Aguaruna	que no se puede agarrar	Castellano	adj.
wipiodeicat1996/20/3	achimát	Aguaruna	agarrar	Castellano	v.
wipiodeicat1996/20/3	achimát	Aguaruna	prender	Castellano	v.
wipiodeicat1996/20/4	achimtái	Aguaruna	pasamano	Castellano	s.
wipiodeicat1996/20/5	achíshtai	Aguaruna	intocable. (sinón. ántishtai)	Castellano	adj.
wipiodeicat1996/20/6	achít	Aguaruna	agarrar	Castellano	v.
wipiodeicat1996/20/6	achít	Aguaruna	coger pescado con la mano	Castellano	v.
wipiodeicat1996/20/6	achít	Aguaruna	pescar	Castellano	v.
wipiodeicat1996/20/6	achít	Aguaruna	encarcelar	Castellano	v.
wipiodeicat1996/20/6	achít	Aguaruna	atrapar a una persona	Castellano	v.
wipiodeicat1996/20/6	achít	Aguaruna	animal o ave con la red	Castellano	v.
wipiodeicat1996/20/6	achít	Aguaruna	atrapar peces con la red	Castellano	v.
wipiodeicat1996/20/6	achít	Aguaruna	pescar con red	Castellano	v.
wipiodeicat1996/20/6	achít	Aguaruna	sacar el cogollo de la palmera	Castellano	v.
wipiodeicat1996/20/6	achít	Aguaruna	sacar la corteza de un árbol para usarla como soga o asa de canasta	Castellano	v.
wipiodeicat1996/20/6	achít	Aguaruna	sacar la fibra de la chambira	Castellano	v.
wipiodeicat1996/20/6	achít	Aguaruna	palpar	Castellano	v.
wipiodeicat1996/20/6	achít	Aguaruna	tocar	Castellano	v.
wipiodeicat1996/20/6	achít	Aguaruna	pegar con goma	Castellano	v.
wipiodeicat1996/20/6	achít	Aguaruna	clavar	Castellano	v.
wipiodeicat1996/20/6	achít	Aguaruna	fijar	Castellano	v.
wipiodeicat1996/20/6	achít	Aguaruna	contener	Castellano	v.
wipiodeicat1996/20/6	achít	Aguaruna	abarcar	Castellano	v.
wipiodeicat1996/20/7	achitái	Aguaruna	tocable	Castellano	adj.|s.
wipiodeicat1996/20/7	achitái	Aguaruna	martillo	Castellano	adj.|s.
wipiodeicat1996/20/7	achitái	Aguaruna	clavo	Castellano	adj.|s.
wipiodeicat1996/20/7	achitái	Aguaruna	goma	Castellano	adj.|s.
wipiodeicat1996/20/8	áchu	Aguaruna	aguaje (esp. de palmera)	Castellano	s.
wipiodeicat1996/20/8	áchu	Aguaruna	nombre de una comunidad	Castellano	s.
wipiodeicat1996/20/8	áchu	Aguaruna	aguaje (esp. de palmera)	Castellano	s.
wipiodeicat1996/20/8	áchu	Aguaruna	nombre de una comunidad	Castellano	s.
wipiodeicat1996/20/9	achúag	Aguaruna	nombre de hombre y de mujer	Castellano	s.
wipiodeicat1996/20/10	achuák	Aguaruna	especie de palmera	Castellano	s.
wipiodeicat1996/20/10	achuáka	Aguaruna	especie de palmera	Castellano	s.
wipiodeicat1996/20/11	achúp	Aguaruna	nombre de hombre	Castellano	s.
wipiodeicat1996/20/12	achuúnts	Aguaruna	nombre de una quebrada	Castellano	s.
wipiodeicat1996/20/13	adáikamu	Aguaruna	encargado	Castellano	adj.
wipiodeicat1996/20/13	adáikamu	Aguaruna	nombrado	Castellano	adj.
wipiodeicat1996/20/13	adáikamu	Aguaruna	mencionado	Castellano	adj.
wipiodeicat1996/20/14	iwágtusa adáikamu	Aguaruna	sobrenombre	Castellano	
wipiodeicat1996/20/14	iwágtusa adáikamu	Aguaruna	apodo	Castellano	
wipiodeicat1996/20/16	adaúgbau	Aguaruna	remojado (maní o maíz para sembrar)	Castellano	adj.
wipiodeicat1996/20/17	adáyat	Aguaruna	dar nombre a un recién nacido	Castellano	v.
wipiodeicat1996/20/17	adáyat	Aguaruna	llamar por su nombre	Castellano	v.
wipiodeicat1996/20/17	adáyat	Aguaruna	mencionar	Castellano	v.
wipiodeicat1996/20/17	adáyat	Aguaruna	proponer	Castellano	v.
wipiodeicat1996/20/17	adáyat	Aguaruna	nombrar	Castellano	v.
wipiodeicat1996/20/17	adáiyat	Aguaruna	dar nombre a un recién nacido	Castellano	v.
wipiodeicat1996/20/17	adáiyat	Aguaruna	llamar por su nombre	Castellano	v.
wipiodeicat1996/20/17	adáiyat	Aguaruna	mencionar	Castellano	v.
wipiodeicat1996/20/17	adáiyat	Aguaruna	proponer	Castellano	v.
wipiodeicat1996/20/17	adáiyat	Aguaruna	nombrar	Castellano	v.
wipiodeicat1996/20/18	anentaímsa ádaiyat	Aguaruna	adivinar	Castellano	
wipiodeicat1996/20/19	adíjis	Aguaruna	muy cerca	Castellano	adv.
wipiodeicat1996/20/20	adíjit	Aguaruna	acercar	Castellano	v.
wipiodeicat1996/20/20	adíjit	Aguaruna	aproximar	Castellano	v.
wipiodeicat1996/20/20	adíjit	Aguaruna	permitir a otro a hacer acto sexual	Castellano	v.
wipiodeicat1996/20/20	adíjit	Aguaruna	forzar a otro a hacer acto sexual	Castellano	v.
wipiodeicat1996/20/20	adíjit	Aguaruna	violar a otro	Castellano	v.
wipiodeicat1996/20/20	aníjit	Aguaruna	acercar	Castellano	v.
wipiodeicat1996/20/20	aníjit	Aguaruna	aproximar	Castellano	v.
wipiodeicat1996/20/20	aníjit	Aguaruna	permitir a otro a hacer acto sexual	Castellano	v.
wipiodeicat1996/20/20	aníjit	Aguaruna	forzar a otro a hacer acto sexual	Castellano	v.
wipiodeicat1996/20/20	aníjit	Aguaruna	violar a otro	Castellano	v.
wipiodeicat1996/20/21	adukímu	Aguaruna	pegado	Castellano	adj.
wipiodeicat1996/20/22	adúkut	Aguaruna	hacer lamer	Castellano	v.
