@date: 2014-06-26
@url: http://www.quanthistling.info/data/source/larson1966/dictionary-1-90.html
@source_title: Vocabulario Aguaruna de Amazonas
@source_author: Larson, Mildred L.
@source_year: 1966
QLCID	HEAD	HEAD_DOCULECT	TRANSLATION	TRANSLATION_DOCULECT	POS
larson1966/7/33	asáktai	Aguaruna	tranca para puerta	Castellano	
larson1966/8/1	asámtai	Aguaruna	porque	Castellano	
larson1966/8/2	asáuk	Aguaruna	vestigios de chacra vieja	Castellano	
larson1966/8/3	aség	Aguaruna	eslabón	Castellano	
larson1966/8/4	aségmat	Aguaruna	chispear	Castellano	
larson1966/8/4	aségmat	Aguaruna	sacar chispas	Castellano	
larson1966/8/5	asépatai̱	Aguaruna	sábana	Castellano	
larson1966/8/6	ásum	Aguaruna	trabajador	Castellano	
larson1966/8/8	asutít	Aguaruna	pegar	Castellano	
larson1966/8/8	asutít	Aguaruna	castigar	Castellano	
larson1966/8/8	asutít	Aguaruna	azotar	Castellano	
larson1966/8/9	ashán	Aguaruna	vieja	Castellano	
larson1966/8/10	ashántuch	Aguaruna	anciana	Castellano	
larson1966/8/10	ashántuch	Aguaruna	viejita	Castellano	
larson1966/8/11	ashí	Aguaruna	todo	Castellano	
larson1966/8/12	ashimát	Aguaruna	acabar	Castellano	
larson1966/8/12	ashimát	Aguaruna	agotar	Castellano	
larson1966/8/12	ashimát	Aguaruna	terminar	Castellano	
larson1966/8/12	ashimát	Aguaruna	consumir	Castellano	
larson1966/8/13	ashiímnachu	Aguaruna	eternal	Castellano	
larson1966/8/13	ashiímnachu	Aguaruna	sin fin	Castellano	
larson1966/8/14	ashinát	Aguaruna	ausentarse (muchas)	Castellano	
larson1966/8/15	áshinchau	Aguaruna	doncella	Castellano	
larson1966/8/16	ashishmát	Aguaruna	cuchichear	Castellano	
larson1966/8/17	ashít	Aguaruna	sacar	Castellano	
larson1966/8/17	ashít	Aguaruna	desenterrar	Castellano	
larson1966/8/18	ashúsh	Aguaruna	guayaba	Castellano	
larson1966/8/19	aták	Aguaruna	después	Castellano	
larson1966/8/19	aták	Aguaruna	otra vez	Castellano	
larson1966/8/20	ataktúu	Aguaruna	otra vez	Castellano	
larson1966/8/21	átamju̱t	Aguaruna	posar la cabeza en la almohada	Castellano	
larson1966/8/22	átamjutai̱	Aguaruna	almohada	Castellano	
larson1966/8/22	átamjutai̱	Aguaruna	cabecera	Castellano	
larson1966/8/23	atantút	Aguaruna	quitar	Castellano	
larson1966/8/23	atantút	Aguaruna	defraudar	Castellano	
larson1966/8/24	atásh	Aguaruna	gallina	Castellano	
larson1966/8/25	atásh áyum	Aguaruna	gallo	Castellano	
larson1966/8/26	atashú uchijí̱	Aguaruna	pollo	Castellano	
larson1966/8/27	atéknat	Aguaruna	poner olla boca abajo	Castellano	
larson1966/8/28	atéktut	Aguaruna	tapar ollas y botellas	Castellano	
larson1966/8/28	atéktut	Aguaruna	dejar ollas boca abajo	Castellano	
larson1966/8/28	atéktut	Aguaruna	empollar gallinas	Castellano	
larson1966/8/29	atimát	Aguaruna	soltarse	Castellano	
larson1966/8/30	atiniú̱	Aguaruna	descosido	Castellano	
larson1966/8/31	atiít	Aguaruna	soltar	Castellano	
larson1966/8/31	atiít	Aguaruna	desenvolver	Castellano	
larson1966/8/31	atiít	Aguaruna	desamarrar	Castellano	
larson1966/8/31	atiít	Aguaruna	alterar	Castellano	
larson1966/8/31	atiít	Aguaruna	deshilar	Castellano	
larson1966/8/31	atiít	Aguaruna	desenredarse	Castellano	
larson1966/9/1	atú amáin	Aguaruna	otro lado del río	Castellano	
